type,entry_time,exit_time,entry_price,exit_price,pnl_pct,bars_held,exit_reason
long,2025-01-16 04:45:00,2025-01-16 07:45:00,149.72,151.2172,0.8999999999999948,3,take_profit
short,2025-01-20 03:45:00,2025-01-20 04:45:00,156.9,157.68449999999999,-0.5999999999999872,1,stop_loss
short,2025-01-20 08:45:00,2025-01-20 09:45:00,158.25,156.6675,0.9000000000000065,1,take_profit
short,2025-01-21 05:45:00,2025-01-21 07:45:00,160.32,158.71679999999998,0.9000000000000096,2,take_profit
short,2025-01-22 04:45:00,2025-01-22 05:45:00,161.54,159.9246,0.8999999999999964,1,take_profit
short,2025-01-23 03:45:00,2025-01-23 04:45:00,155.69,156.46845,-0.5999999999999951,1,stop_loss
long,2025-01-28 05:45:00,2025-01-28 07:45:00,144.54,145.9854,0.9000000000000045,2,take_profit
long,2025-01-31 05:45:00,2025-01-31 06:45:00,141.0,140.295,-0.6000000000000089,1,stop_loss
long,2025-02-04 07:45:00,2025-02-04 08:45:00,140.04,141.44039999999998,0.8999999999999932,1,take_profit
long,2025-02-11 08:45:00,2025-02-11 09:45:00,137.27,136.58365,-0.6000000000000032,1,stop_loss
long,2025-02-17 07:45:00,2025-02-17 08:45:00,123.92,123.3004,-0.6000000000000044,1,stop_loss
long,2025-02-18 08:45:00,2025-02-18 09:45:00,118.51,117.91745,-0.6000000000000023,1,stop_loss
long,2025-02-21 08:45:00,2025-02-21 09:45:00,120.11,119.50945,-0.5999999999999986,1,stop_loss
long,2025-03-03 07:45:00,2025-03-03 08:45:00,106.9,107.96900000000001,0.9000000000000025,1,take_profit
long,2025-03-13 03:45:00,2025-03-13 04:45:00,110.15,109.59925000000001,-0.5999999999999942,1,stop_loss
long,2025-03-17 04:45:00,2025-03-17 05:45:00,108.6,108.05699999999999,-0.6000000000000059,1,stop_loss
long,2025-04-09 06:45:00,2025-04-09 07:45:00,105.65,105.12175,-0.5999999999999999,1,stop_loss
short,2025-04-21 06:45:00,2025-04-21 07:45:00,122.46,123.07229999999998,-0.5999999999999923,1,stop_loss
short,2025-04-22 04:45:00,2025-04-22 05:45:00,124.84,123.5916,0.9000000000000029,1,take_profit
short,2025-04-24 05:45:00,2025-04-24 06:45:00,126.35,126.98174999999998,-0.5999999999999861,1,stop_loss
long,2025-05-05 08:45:00,2025-05-05 09:45:00,120.07,120.1,-0.07501457483134744,1,forced_intraday_exit
long,2025-05-09 06:45:00,2025-05-09 08:45:00,111.65,112.76650000000001,0.9000000000000018,2,take_profit
short,2025-05-16 03:45:00,2025-05-16 04:45:00,126.53,127.16264999999999,-0.5999999999999873,1,stop_loss
short,2025-05-19 06:45:00,2025-05-19 07:45:00,128.2,126.91799999999999,0.8999999999999975,1,take_profit
