type,entry_time,exit_time,entry_price,exit_price,pnl_pct,bars_held,exit_reason
long,2026-06-05 16:15:00,2026-06-05 17:45:00,1350.75,1351.5,-0.0444752915047196,6,forced_intraday_exit
long,2026-06-08 05:15:00,2026-06-08 13:00:00,1343.75,1357.0,0.886046511627907,31,opposite_signal
short,2026-06-08 13:00:00,2026-06-08 17:45:00,1357.0,1353.75,0.13949889462048637,18,forced_intraday_exit
long,2026-06-10 08:45:00,2026-06-10 17:45:00,1336.35,1332.0,-0.4255135256482141,36,forced_intraday_exit
long,2026-06-11 04:00:00,2026-06-11 16:30:00,1328.0,1334.7,0.40451807228916004,50,opposite_signal
short,2026-06-11 16:30:00,2026-06-11 17:30:00,1334.7,1345.3776,-0.8999999999999988,4,stop_loss
short,2026-06-12 08:30:00,2026-06-12 17:45:00,1351.0,1352.4,-0.20362694300518808,36,forced_intraday_exit
long,2026-06-16 07:00:00,2026-06-16 17:45:00,1350.0,1357.35,0.44444444444443765,43,forced_intraday_exit
short,2026-06-17 08:15:00,2026-06-17 17:45:00,1356.5,1356.25,-0.08157021747143384,38,forced_intraday_exit
long,2026-06-18 07:00:00,2026-06-18 17:45:00,1345.75,1339.8,-0.542132639791941,43,forced_intraday_exit
short,2026-06-22 09:15:00,2026-06-22 17:45:00,1338.3,1334.9,0.1540536501531692,34,forced_intraday_exit
long,2026-06-23 08:15:00,2026-06-23 16:30:00,1314.4,1303.8848,-0.9000000000000037,33,stop_loss
long,2026-06-24 04:00:00,2026-06-24 11:15:00,1285.4,1275.1168,-0.900000000000006,29,stop_loss
long,2026-06-24 12:45:00,2026-06-24 13:00:00,1269.0,1258.848,-0.9000000000000035,1,stop_loss
long,2026-06-24 16:30:00,2026-06-24 17:45:00,1246.25,1241.1,-0.5132397191574797,5,forced_intraday_exit
